Order,Circuit,Event,Type,Clear,Rainy,Overcast,Hot,Stormy,Contract,Lap Record,Grid Size
01,Florida International Super Speedway - USA,Premier,Superspeedway,1,0,0,0,0,2010,1:00.00          Driver (Team)     2011,40
02,Alabama Speedway - USA,Feature,Oval,1,0,0,0,0,2010,1:00.00          Driver (Team)     2011,36
03,DataShift Raceway - USA,Feature,Oval,1,0,0,0,0,2010,1:00.00          Driver (Team)     2012,36
04,Backfire Canyon Speedway - USA,Feature,Short Track,1,0,0,0,0,2010,1:00.00          Driver (Team)     2013,36
05,Sun Valley International Raceway - USA,Feature,Oval,1,0,0,0,0,2010,1:00.00          Driver (Team)     2013,36
06,Bowling Lake International - USA,Feature,Road Course,1,0,0,0,0,2010,1:00.00          Driver (Team)     2014,36
07,Georgia Super Speedway - USA,Feature,Superspeedway,1,0,0,0,0,2010,1:00.00          Driver (Team)     2011,40
08,Rocker Arms International - USA,Feature,Short Track,1,0,0,0,0,2010,1:00.00          Driver (Team)     2016,36
09,Beachside Speedway - USA,Feature,Oval,1,0,0,0,0,2010,1:00.00          Driver (Team)     2017,36
10,Smasherville Speedway - USA,Feature,Oval,1,0,0,0,0,2010,1:00.00          Driver (Team)     2018,36
11,Grandol Oil Co. Raceway,Feature,Oval,1,0,0,0,0,2010,1:00.00          Driver (Team)     2019,36
12,Glen Ellen Raceway - USA,Feature,Road Course,1,0,0,0,0,2010,1:00.00          Driver (Team)     2020,36
13,Copper Canyon Speedway - USA,Feature,Oval,1,0,0,0,0,2010,1:00.00          Driver (Team)     2021,36
14,Motor Speedway of the South - USA,Premier,Short Track,1,0,0,0,0,2010,1:00.00          Driver (Team)     2022,36
15,Virginia Speedway - USA,Feature,Short Track,1,0,0,0,0,2010,1:00.00          Driver (Team)     2023,36
16,Treadwell Motor Speedway - USA,Feature,Oval,1,0,0,0,0,2010,1:00.00          Driver (Team)     2024,36
17,Rustbelt Raceway - USA,Feature,Oval,1,0,0,0,0,2010,1:00.00          Driver (Team)     2025,36
18,BnL Raceway - USA,Feature,Oval,1,0,0,0,0,2010,1:00.00          Driver (Team)     2026,36
19,Tailgator Speedway - USA,Feature,Short Track,1,0,0,0,0,2010,1:00.00          Driver (Team)     2026,36
20,Petroleum City Super Speedway - USA,Feature,Oval,1,0,0,0,0,2010,1:00.00          Driver (Team)     2026,36
21,Palm Mile Speedway - USA,Feature,Superspeedway,1,0,0,0,0,2010,1:00.00          Driver (Team)     2011,40
22,Heartland Motor Speedway - USA,Feature,Short Track,1,0,0,0,0,2010,1:00.00          Driver (Team)     2026,36
23,Radiator Springs Speedway - USA,Feature,Road Course,1,0,0,0,0,2010,1:00.00          Driver (Team)     2026,36
24,Los Angeles International Speedway - USA,Premier,Superspeedway,1,0,0,0,0,2010,1:00.00          Driver (Team)     2011,40
