Order,Circuit,Event,Type,Clear,Rainy,Overcast,Hot,Stormy,Contract,Lap Record,Grid Size
01,Luigi Circuit - Mushroom Cup,Feature,Grand Prix,0.8,0.1,0.1,0,0,3000,1:00.00          Driver (Team)     2011,20
02,Moo Moo Meadows - Mushroom Cup,Feature,Road Course,0.8,0.1,0.1,0,0,3000,1:00.00          Driver (Team)     2011,20
03,Mushroom Gorge - Mushroom Cup,Feature,Road Course,0.8,0.1,0.1,0,0,3000,1:00.00          Driver (Team)     2012,20
04,Toad's Factory - Mushroom Cup,Feature,Street Track,0.7,0.1,0.1,0.1,0,3000,1:00.00          Driver (Team)     2013,20
05,Mario Circuit - Flower Cup,Feature,Street Track,0.8,0.1,0.1,0,0,3000,1:00.00          Driver (Team)     2014,20
06,Coconut Mall - Flower Cup,Premier,Street Track,0.6,0.2,0.05,0.1,0.05,3000,1:00.00          Driver (Team)     2015,20
07,DK Summit - Flower Cup,Feature,Road Course,0.6,0.1,0.1,0,0.2,3000,1:00.00          Driver (Team)     2016,20
08,Wario's Gold Mine - Flower Cup,Feature,Road Course,0.6,0.1,0.1,0.2,0,3000,1:00.00          Driver (Team)     2017,20
09,Daisy Circuit - Star Cup,Feature,Street Track,0.8,0.05,0.05,0.1,0,3000,1:00.00          Driver (Team)     2018,20
10,Koopa Cape - Star Cup,Feature,Road Course,0.8,0.1,0,0,0.1,3000,1:00.00          Driver (Team)     2019,20
11,Maple Treeway - Star Cup,Feature,Road Course,0.6,0.2,0.1,0.1,0,3000,1:00.00          Driver (Team)     2020,20
12,Grumble Volcano - Star Cup,Feature,Road Course,0.6,0,0.05,0.2,0.15,3000,1:00.00          Driver (Team)     2021,20
13,Dry Dry Ruins - Special Cup,Feature,Road Course,0.5,0,0,0.5,0,3000,1:00.00          Driver (Team)     2022,20
14,Moonview Highway - Special Cup,Feature,Street Track,0.8,0.1,0.1,0,0,3000,1:00.00          Driver (Team)     2023,20
15,Bowser's Castle - Special Cup,Feature,Road Course,0.1,0.1,0.1,0.4,0.3,3000,1:00.00          Driver (Team)     2024,20
16,Rainbow Road - Special Cup,Premier,Superspeedway,1,0,0,0,0,3000,1:00.00          Driver (Team)     2025,20
